Year,Lg,Name,Tm,WAR
2024,AL,Aaron Judge,NYY,10.8
2024,NL,Shohei Ohtani,LAD,9.2
2023,AL,Shohei Ohtani,LAA,10
2023,NL,Ronald Acuña Jr.,ATL,8.4
2022,AL,Aaron Judge,NYY,10.8
2022,NL,Paul Goldschmidt,STL,7.7
2021,AL,Shohei Ohtani,LAA,9
2021,NL,Bryce Harper,PHI,5.9
2020,AL,José Abreu,CHW,2.7
2020,NL,Freddie Freeman,ATL,3.3
2019,AL,Mike Trout,LAA,7.9
2019,NL,Cody Bellinger,LAD,8.7
2018,AL,Mookie Betts,BOS,10.7
2018,NL,Christian Yelich,MIL,7.3
2017,AL,Jose Altuve,HOU,8.1
2017,NL,Giancarlo Stanton,MIA,8.1
2016,AL,Mike Trout,LAA,10.4
2016,NL,Kris Bryant,CHC,7.3
2015,AL,Josh Donaldson,TOR,7.4
2015,NL,Bryce Harper,WSN,9.7
2014,AL,Mike Trout,LAA,7.7
2014,NL,Clayton Kershaw,LAD,8.2
2013,AL,Miguel Cabrera,DET,7.5
2013,NL,Andrew McCutchen,PIT,7.8
2012,AL,Miguel Cabrera,DET,7.1
2012,NL,Buster Posey,SFG,7.6
2011,AL,Justin Verlander,DET,8.6
2011,NL,Ryan Braun,MIL,7.7
2010,AL,Josh Hamilton,TEX,8.7
2010,NL,Joey Votto,CIN,7
2009,AL,Joe Mauer,MIN,7.8
2009,NL,Albert Pujols,STL,9.7
2008,AL,Dustin Pedroia,BOS,7
2008,NL,Albert Pujols,STL,9.2
2007,AL,Alex Rodriguez,NYY,9.4
2007,NL,Jimmy Rollins,PHI,6.1
2006,AL,Justin Morneau,MIN,4.3
2006,NL,Ryan Howard,PHI,5.2
2005,AL,Alex Rodriguez,NYY,9.4
2005,NL,Albert Pujols,STL,8.4
2004,AL,Vladimir Guerrero,ANA,5.6
2004,NL,Barry Bonds,SFG,10.6
2003,AL,Alex Rodriguez,TEX,8.4
2003,NL,Barry Bonds,SFG,9.2
2002,AL,Miguel Tejada,OAK,5.7
2002,NL,Barry Bonds,SFG,11.7
2001,AL,Ichiro Suzuki,SEA,7.7
2001,NL,Barry Bonds,SFG,11.9
2000,AL,Jason Giambi,OAK,7.8
2000,NL,Jeff Kent,SFG,7.2
1999,AL,Iván Rodríguez,TEX,6.4
1999,NL,Chipper Jones,ATL,6.9
1998,AL,Juan González,TEX,4.9
1998,NL,Sammy Sosa,CHC,6.5
1997,AL,Ken Griffey Jr.,SEA,9.1
1997,NL,Larry Walker,COL,9.8
1996,AL,Juan González,TEX,3.8
1996,NL,Ken Caminiti,SDP,7.6
1995,AL,Mo Vaughn,BOS,4.3
1995,NL,Barry Larkin,CIN,5.9
1994,AL,Frank Thomas,CHW,6.4
1994,NL,Jeff Bagwell,HOU,8.2
1993,AL,Frank Thomas,CHW,6.2
1993,NL,Barry Bonds,SFG,9.9
1992,AL,Dennis Eckersley,OAK,2.9
1992,NL,Barry Bonds,PIT,9
1991,AL,Cal Ripken Jr.,BAL,11.5
1991,NL,Terry Pendleton,ATL,6.1
1990,AL,Rickey Henderson,OAK,9.9
1990,NL,Barry Bonds,PIT,9.7
1989,AL,Robin Yount,MIL,5.8
1989,NL,Kevin Mitchell,SFG,6.9
1988,AL,José Canseco,OAK,7.3
1988,NL,Kirk Gibson,LAD,6.5
1987,AL,George Bell,TOR,5
1987,NL,Andre Dawson,CHC,4
1986,AL,Roger Clemens,BOS,8.8
1986,NL,Mike Schmidt,PHI,6.1
1985,AL,Don Mattingly,NYY,6.5
1985,NL,Willie McGee,STL,8.2
1984,AL,Willie Hernández,DET,4.8
1984,NL,Ryne Sandberg,CHC,8.5
1983,AL,Cal Ripken Jr.,BAL,8.2
1983,NL,Dale Murphy,ATL,7.1
1982,AL,Robin Yount,MIL,10.5
1982,NL,Dale Murphy,ATL,6.1
1981,AL,Rollie Fingers,MIL,4.2
1981,NL,Mike Schmidt,PHI,7.7
1980,AL,George Brett,KCR,9.4
1980,NL,Mike Schmidt,PHI,8.9
1979,AL,Don Baylor,CAL,3.7
1979,NL,Keith Hernandez,STL,7.6
1979,NL,Willie Stargell,PIT,2.5
1978,AL,Jim Rice,BOS,7.6
1978,NL,Dave Parker,PIT,7
1977,AL,Rod Carew,MIN,9.7
1977,NL,George Foster,CIN,8.4
1976,AL,Thurman Munson,NYY,5.3
1976,NL,Joe Morgan,CIN,9.6
1975,AL,Fred Lynn,BOS,7.4
1975,NL,Joe Morgan,CIN,11
1974,AL,Jeff Burroughs,TEX,3.6
1974,NL,Steve Garvey,LAD,4.4
1973,AL,Reggie Jackson,OAK,7.8
1973,NL,Pete Rose,CIN,8.3
1972,AL,Dick Allen,CHW,8.6
1972,NL,Johnny Bench,CIN,8.6
1971,AL,Vida Blue,OAK,8.5
1971,NL,Joe Torre,STL,5.9
1970,AL,Boog Powell,BAL,5.1
1970,NL,Johnny Bench,CIN,7.4
1969,AL,Harmon Killebrew,MIN,6.2
1969,NL,Willie McCovey,SFG,8.1
1968,AL,Denny McLain,DET,7.4
1968,NL,Bob Gibson,STL,11.9
1967,AL,Carl Yastrzemski,BOS,12.4
1967,NL,Orlando Cepeda,STL,6.8
1966,AL,Frank Robinson,BAL,7.7
1966,NL,Roberto Clemente,PIT,8.2
1965,AL,Zoilo Versalles,MIN,7.2
1965,NL,Willie Mays,SFG,11.2
1964,AL,Brooks Robinson,BAL,8.1
1964,NL,Ken Boyer,STL,6.1
1963,AL,Elston Howard,NYY,5.2
1963,NL,Sandy Koufax,LAD,9.9
1962,AL,Mickey Mantle,NYY,6
1962,NL,Maury Wills,LAD,6
1961,AL,Roger Maris,NYY,6.9
1961,NL,Frank Robinson,CIN,7.7
1960,AL,Roger Maris,NYY,7.5
1960,NL,Dick Groat,PIT,6.1
1959,AL,Nellie Fox,CHW,6
1959,NL,Ernie Banks,CHC,10.2
1958,AL,Jackie Jensen,BOS,4.9
1958,NL,Ernie Banks,CHC,9.3
1957,AL,Mickey Mantle,NYY,11.3
1957,NL,Henry Aaron,MLN,8
1956,AL,Mickey Mantle,NYY,11.3
1956,NL,Don Newcombe,BRO,5.3
1955,AL,Yogi Berra,NYY,4.5
1955,NL,Roy Campanella,BRO,5.2
1954,AL,Yogi Berra,NYY,5.3
1954,NL,Willie Mays,NYG,10.4
1953,AL,Al Rosen,CLE,10.1
1953,NL,Roy Campanella,BRO,6.8
1952,AL,Bobby Shantz,PHA,9.4
1952,NL,Hank Sauer,CHC,5.6
1951,AL,Yogi Berra,NYY,5.3
1951,NL,Roy Campanella,BRO,6.9
1950,AL,Phil Rizzuto,NYY,6.8
1950,NL,Jim Konstanty,PHI,4.4
1949,AL,Ted Williams,BOS,9
1949,NL,Jackie Robinson,BRO,9.3
1948,AL,Lou Boudreau,CLE,10.4
1948,NL,Stan Musial,STL,11.3
1947,AL,Joe DiMaggio,NYY,4.7
1947,NL,Bob Elliott,BSN,6.5
1946,AL,Ted Williams,BOS,10.6
1946,NL,Stan Musial,STL,9.3
1945,AL,Hal Newhouser,DET,12.2
1945,NL,Phil Cavarretta,CHC,6
1944,AL,Hal Newhouser,DET,8.4
1944,NL,Marty Marion,STL,4.5
1943,AL,Spud Chandler,NYY,7.3
1943,NL,Stan Musial,STL,9.5
1942,AL,Joe Gordon,NYY,7.7
1942,NL,Mort Cooper,STL,8.3
1941,AL,Joe DiMaggio,NYY,9.3
1941,NL,Dolph Camilli,BRO,6.9
1940,AL,Hank Greenberg,DET,6.8
1940,NL,Frank McCormick,CIN,5.3
1939,AL,Joe DiMaggio,NYY,8.3
1939,NL,Bucky Walters,CIN,9.8
1938,AL,Jimmie Foxx,BOS,7.4
1938,NL,Ernie Lombardi,CIN,4.8
1937,AL,Charlie Gehringer,DET,7.9
1937,NL,Joe Medwick,STL,8.4
1936,AL,Lou Gehrig,NYY,9.7
1936,NL,Carl Hubbell,NYG,10.1
1935,AL,Hank Greenberg,DET,7.5
1935,NL,Gabby Hartnett,CHC,4.9
1934,AL,Mickey Cochrane,DET,4.5
1934,NL,Dizzy Dean,STL,9.5
1933,AL,Jimmie Foxx,PHA,9
1933,NL,Carl Hubbell,NYG,9
1932,AL,Jimmie Foxx,PHA,10.4
1932,NL,Chuck Klein,PHI,7.5
1931,AL,Lefty Grove,PHA,10
1931,NL,Frankie Frisch,STL,4
1930,AL,Joe Cronin *,WSH,8.5
1930,NL,Hack Wilson *,CHC,7.4
1929,AL,Lew Fonseca *,CLE,5.6
1929,NL,Rogers Hornsby,CHC,10.6
1928,AL,Mickey Cochrane,PHA,3.4
1928,NL,Jim Bottomley,STL,5.6
1927,AL,Lou Gehrig,NYY,11.9
1927,NL,Paul Waner,PIT,7.1
1926,AL,George Burns,CLE,5.2
1926,NL,Bob O'Farrell,STL,3.9
1925,AL,Roger Peckinpaugh,WSH,2.7
1925,NL,Rogers Hornsby,STL,10.2
1924,AL,Walter Johnson,WSH,7.5
1924,NL,Dazzy Vance,BRO,10.3
1923,AL,Babe Ruth,NYY,14.1
1922,AL,George Sisler,SLB,8.7
1914,AL,Eddie Collins,PHA,9.1
1914,NL,Johnny Evers,BSN,4.9
1913,AL,Walter Johnson,WSH,16.6
1913,NL,Jake Daubert,BRO,4
1912,AL,Tris Speaker,BOS,10.2
1912,NL,Larry Doyle,NYG,5
1911,AL,Ty Cobb,DET,10.7
1911,NL,Frank Schulte,CHC,5.2
